City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,vestmanna,62.1564,-7.1664,32.92,60,100,14.97,FO,1682313969
337,bengkulu,-3.8004,102.2655,85.73,68,86,7.34,ID,1682313970
338,san patricio,28.017,-97.5169,63.84,86,100,13.13,US,1682313970
339,kataysk,56.289,62.5841,48.09,57,60,8.79,RU,1682313971
340,tura,25.5198,90.2201,87.71,33,6,3.71,IN,1682313971
341,la rioja,42.25,-2.5,46.18,97,100,2.37,ES,1682313971
342,mount gambier,-37.8333,140.7667,74.66,35,0,4.72,AU,1682313972
343,muzhi,65.3667,64.6667,26.71,72,10,20.78,RU,1682313972
344,krumovgrad,41.4667,25.65,50.95,86,4,3.74,BG,1682313973
345,kankan,10.3854,-9.3057,77.59,47,60,6.89,GN,1682313973
346,panguipulli,-39.6333,-72.3333,48.69,93,3,2.04,CL,1682313973
347,namtsy,62.7161,129.6658,32.09,88,100,13.09,RU,1682313973
348,buguias,16.7227,120.8283,76.48,60,36,1.16,PH,1682313973
349,kalmunai,7.4167,81.8167,87.93,64,99,7.99,LK,1682313974
350,noumea,-22.2763,166.4572,81.0,99,46,8.97,NC,1682313709
351,saint-georges,12.0564,-61.7485,78.06,86,99,9.62,GD,1682313974
352,ierapetra,35.01,25.7353,62.15,61,47,8.01,GR,1682313975
353,suifenhe,44.4,131.1667,50.63,13,2,14.5,CN,1682313975
354,deputatskiy,69.3,139.9,23.38,85,100,8.03,RU,1682313975
355,praia da vitoria,38.7333,-27.0667,64.65,94,75,23.87,PT,1682313975
356,niteroi,-22.8833,-43.1036,71.22,73,0,3.44,BR,1682313976
357,buala,-8.145,159.5921,84.36,74,38,3.87,SB,1682313934
358,nokaneng,-19.6667,22.2667,72.9,35,100,7.58,BW,1682313976
359,spornoye,50.8448,37.2913,50.95,76,44,4.81,RU,1682313977
360,puerto baquerizo moreno,-0.9,-89.6,78.37,80,45,8.61,EC,1682313977
361,ann arbor,42.2776,-83.7409,39.27,66,100,11.5,US,1682313977
362,cabedelo,-6.9811,-34.8339,75.87,85,97,9.28,BR,1682313977
363,hualmay,-11.0964,-77.6139,74.5,79,57,5.95,PE,1682313977
364,adrar,20.5022,-10.0711,73.54,24,0,8.23,MR,1682313978
365,lyubuchany,55.2511,37.5456,54.0,49,59,5.5,RU,1682313978
366,cairns,-16.9167,145.7667,85.06,97,75,12.66,AU,1682313978
